time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.40197150,0.13530685,0.24126579,0.02350256,-0.01293099,0.00003875,0.00000000,-0.00000000,0.00000000,1.00000000
0.10000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.04019715,0.01353068,0.02412658,0.00235026,-0.00129310,0.00000387,0.38657956,0.12070897,0.22826225,0.02401807,-0.01341894,0.00002652,0.00000000,-0.00000000,0.00000000,1.00000000
0.20000000,0.00401971,0.00135307,0.00241266,0.00023503,-0.00012931,0.00000039,0.07885511,0.02560158,0.04695280,0.00475206,-0.00263499,0.00000653,0.37109158,0.10647922,0.21544271,0.02451469,-0.01389397,0.00001432,0.00041781,-0.00044552,-0.00108115,0.99999922
0.30000000,0.01190523,0.00391323,0.00710794,0.00071023,-0.00039281,0.00000104,0.11596426,0.03624950,0.06849708,0.00720353,-0.00402439,0.00000796,0.35539241,0.09281101,0.20289064,0.02497667,-0.01434565,0.00000220,0.00123351,-0.00129216,-0.00320289,0.99999327
0.40000000,0.02350165,0.00753818,0.01395765,0.00143059,-0.00079525,0.00000184,0.15150350,0.04553061,0.08878614,0.00970120,-0.00545895,0.00000818,0.33938057,0.07988367,0.19068171,0.02538828,-0.01476357,-0.00000978,0.00242745,-0.00249216,-0.00632645,0.99997393
0.50000000,0.03865200,0.01209124,0.02283626,0.00240071,-0.00134114,0.00000265,0.18544156,0.05351897,0.10785431,0.01224003,-0.00693531,0.00000720,0.32296921,0.06786019,0.17888233,0.02573373,-0.01513734,-0.00002156,0.00397985,-0.00399574,-0.01041371,0.99992987
0.60000000,0.05719616,0.01744313,0.03362169,0.00362471,-0.00203467,0.00000337,0.21773848,0.06030499,0.12574254,0.01481340,-0.00844904,0.00000505,0.30608664,0.05688517,0.16754854,0.02599727,-0.01545664,-0.00003307,0.00587039,-0.00575232,-0.01542623,0.99984722
0.70000000,0.07897001,0.02347363,0.04619595,0.00510605,-0.00287958,0.00000388,0.24834715,0.06599351,0.14249740,0.01741313,-0.00999471,0.00000174,0.28867648,0.04708308,0.15672491,0.02616324,-0.01571124,-0.00004427,0.00807785,-0.00771177,-0.02132427,0.99971023
0.80000000,0.10380472,0.03007298,0.06044568,0.00684736,-0.00387905,0.00000405,0.27721479,0.07070182,0.15816989,0.02002945,-0.01156583,-0.00000269,0.27069745,0.03855670,0.14644383,0.02621621,-0.01589109,-0.00005511,0.01057991,-0.00982559,-0.02806602,0.99950178
0.90000000,0.13152620,0.03714317,0.07626267,0.00885031,-0.00503563,0.00000378,0.30428454,0.07455749,0.17281427,0.02265107,-0.01315494,-0.00000820,0.25212291,0.03138588,0.13672485,0.02614112,-0.01598646,-0.00006552,0.01335307,-0.01204792,-0.03560687,0.99920403
1.00000000,0.16195466,0.04459892,0.09354410,0.01111541,-0.00635113,0.00000296,0.32949683,0.07769607,0.18648676,0.02526519,-0.01475359,-0.00001475,0.23294019,0.02562653,0.12757434,0.02592352,-0.01598802,-0.00007548,0.01637267,-0.01433659,-0.04389901,0.99879891
1.10000000,0.19490434,0.05236852,0.11219278,0.01364193,-0.00782649,0.00000149,0.35279085,0.08025873,0.19924419,0.02785754,-0.01635239,-0.00002230,0.21314975,0.02130998,0.11898535,0.02554975,-0.01588700,-0.00008492,0.01961314,-0.01665389,-0.05289105,0.99826875
1.20000000,0.23018342,0.06039440,0.13211720,0.01642769,-0.00946172,-0.00000074,0.37410583,0.08238972,0.21114273,0.03041251,-0.01794109,-0.00003079,0.19276431,0.01844254,0.11093773,0.02500722,-0.01567534,-0.00009380,0.02304833,-0.01896731,-0.06252791,0.99759675
1.30000000,0.26759401,0.06863337,0.15323147,0.01946894,-0.01125583,-0.00000382,0.39338226,0.08423398,0.22223650,0.03291323,-0.01950862,-0.00004017,0.17180784,0.01700555,0.10339844,0.02428469,-0.01534586,-0.00010209,0.02665196,-0.02124999,-0.07275088,0.99676748
1.40000000,0.30693223,0.07705677,0.17545512,0.02276026,-0.01320670,-0.00000784,0.41056304,0.08593453,0.23257634,0.03534170,-0.02104321,-0.00005038,0.15031462,0.01695558,0.09632225,0.02337253,-0.01489243,-0.00010975,0.03039813,-0.02348108,-0.08349773,0.99576740
1.50000000,0.34798854,0.08565022,0.19871275,0.02629443,-0.01531102,-0.00001288,0.42559450,0.08763009,0.24220857,0.03767896,-0.02253245,-0.00006135,0.12832839,0.01822510,0.08965250,0.02226304,-0.01431016,-0.00011673,0.03426199,-0.02564580,-0.09470307,0.99458520
1.60000000,0.39054799,0.09441323,0.22293361,0.03006233,-0.01756426,-0.00001901,0.43842734,0.08945260,0.25117382,0.03990526,-0.02396347,-0.00007303,0.10590145,0.02072342,0.08332229,0.02095072,-0.01359556,-0.00012301,0.03822023,-0.02773536,-0.10629869,0.99321223
1.70000000,0.43439072,0.10335849,0.24805099,0.03405285,-0.01996061,-0.00002631,0.44901749,0.09152494,0.25950605,0.04200033,-0.02532302,-0.00008533,0.08309405,0.02433800,0.07725577,0.01943253,-0.01274670,-0.00012856,0.04225178,-0.02974663,-0.11821408,0.99164275
1.80000000,0.47929247,0.11251098,0.27400160,0.03825289,-0.02249291,-0.00003485,0.45732689,0.09395874,0.26723162,0.04394359,-0.02659769,-0.00009819,0.05997380,0.02893602,0.07136977,0.01770820,-0.01176337,-0.00013335,0.04633824,-0.03168167,-0.13037695,0.98987417
1.90000000,0.52502516,0.12190686,0.30072476,0.04264724,-0.02515268,-0.00004467,0.46332427,0.09685234,0.27436860,0.04571441,-0.02777403,-0.00011152,0.03661526,0.03436636,0.06557550,0.01578039,-0.01064723,-0.00013734,0.05046431,-0.03354705,-0.14271383,0.98790723
