time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22693554,-0.39381893,-0.13344053,-0.08263886,0.05114400,-0.00018752,0.00000000,0.00000000,0.00000000,1.00000000
0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02269355,-0.03938189,-0.01334405,-0.00826389,0.00511440,-0.00001875,0.18766288,-0.37215417,-0.12310293,-0.07360765,0.04564436,-0.00013403,0.00000000,0.00000000,0.00000000,1.00000000
0.20000000,0.00226936,-0.00393819,-0.00133441,-0.00082639,0.00051144,-0.00000188,0.04145984,-0.07659731,-0.02565435,-0.01562465,0.00967884,-0.00003215,0.16759033,-0.35533532,-0.11561798,-0.06737103,0.04182521,-0.00010197,0.00002035,0.00112768,-0.00016359,0.99999935
0.30000000,0.00641534,-0.01159792,-0.00389984,-0.00238885,0.00147932,-0.00000509,0.05821887,-0.11213084,-0.03721614,-0.02236175,0.01386136,-0.00004235,0.15445777,-0.34078667,-0.10970602,-0.06209857,0.03857534,-0.00007743,0.00004821,0.00330636,-0.00047638,0.99999441
0.40000000,0.01223723,-0.02281100,-0.00762145,-0.00462503,0.00286546,-0.00000933,0.07366465,-0.14620951,-0.04818675,-0.02857161,0.01771889,-0.00005009,0.14465596,-0.32755360,-0.10481909,-0.05727797,0.03558714,-0.00005658,0.00006464,0.00648231,-0.00092861,0.99997855
0.50000000,0.01960369,-0.03743196,-0.01244013,-0.00748219,0.00463735,-0.00001434,0.08813025,-0.17896487,-0.05866865,-0.03429941,0.02127760,-0.00005575,0.13668761,-0.31516951,-0.10066414,-0.05270989,0.03274285,-0.00003793,0.00004501,0.01061171,-0.00151237,0.99994254
0.60000000,0.02841672,-0.05532844,-0.01830699,-0.01091213,0.00676511,-0.00001991,0.10179901,-0.21048182,-0.06873507,-0.03957040,0.02455189,-0.00005955,0.12980502,-0.30336446,-0.09706118,-0.04830249,0.02998946,-0.00002078,-0.00004033,0.01565595,-0.00222094,0.99987497
0.70000000,0.03859662,-0.07637662,-0.02518050,-0.01486917,0.00922030,-0.00002587,0.11477951,-0.24081827,-0.07844119,-0.04440065,0.02755083,-0.00006162,0.12359055,-0.29196343,-0.09388878,-0.04400956,0.02730117,-0.00000476,-0.00022538,0.02157916,-0.00304863,0.99976246
0.80000000,0.05007457,-0.10045845,-0.03302462,-0.01930924,0.01197538,-0.00003203,0.12713856,-0.27001461,-0.08783006,-0.04880160,0.03028095,-0.00006210,0.11779466,-0.28084307,-0.09105892,-0.03980703,0.02466528,0.00001032,-0.00054781,0.02834669,-0.00399087,0.99959003
0.90000000,0.06278843,-0.12745991,-0.04180763,-0.02418940,0.01500348,-0.00003824,0.13891803,-0.29809892,-0.09693596,-0.05278231,0.03274748,-0.00006107,0.11226341,-0.26991074,-0.08850414,-0.03568274,0.02207600,0.00002458,-0.00104827,0.03592397,-0.00504437,0.99934124
