time,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000,-0.474456,2.718155,1.734621,0.139665,-0.080097,0.007756
0.100000,-0.472548,2.708098,1.709237,0.136506,-0.078342,0.007396
0.200000,-0.473608,2.690907,1.686190,0.141487,-0.081646,0.007038
0.300000,-0.478401,2.666419,1.665999,0.153280,-0.089177,0.006680
0.400000,-0.488288,2.633965,1.649827,0.170615,-0.100142,0.006324
0.500000,-0.505002,2.592474,1.639068,0.192273,-0.113773,0.005969
0.600000,-0.530386,2.540572,1.634981,0.217073,-0.129328,0.005616
0.700000,-0.566093,2.476678,1.638388,0.243868,-0.146084,0.005267
0.800000,-0.613263,2.399088,1.649422,0.271550,-0.163343,0.004921
0.900000,-0.672203,2.306050,1.667341,0.299064,-0.180437,0.004581
1.000000,-0.742092,2.195832,1.690402,0.325432,-0.196747,0.004246
1.100000,-0.820755,2.066788,1.715811,0.349782,-0.211723,0.003919
1.200000,-0.904550,1.917417,1.739755,0.371385,-0.224909,0.003600
1.300000,-0.988396,1.746433,1.757526,0.389696,-0.235971,0.003289
1.400000,-1.065969,1.552854,1.763751,0.404388,-0.244720,0.002987
1.500000,-1.130061,1.336118,1.752723,0.415386,-0.251143,0.002695
1.600000,-1.173101,1.096236,1.718838,0.422881,-0.255409,0.002412
1.700000,-1.187772,0.833997,1.657118,0.427323,-0.257875,0.002136
1.800000,-1.167697,0.551200,1.563788,0.429395,-0.259063,0.001866
1.900000,-1.108116,0.250917,1.436849,0.429943,-0.259625,0.001600
2.000000,-1.006520,-0.062274,1.276574,0.429881,-0.260274,0.001334
2.100000,-0.863166,-0.382136,1.085844,0.430068,-0.261698,0.001063
2.200000,-0.681454,-0.700759,0.870222,0.431162,-0.264458,0.000784
2.300000,-0.468092,-1.008763,0.637696,0.433477,-0.268885,0.000490
2.400000,-0.233013,-1.295762,0.398054,0.436867,-0.274985,0.000177
2.500000,0.011047,-1.551093,0.161907,0.440658,-0.282378,-0.000160
2.600000,0.249353,-1.764766,-0.060524,0.443657,-0.290286,-0.000525
2.700000,0.466397,-1.928516,-0.260698,0.444249,-0.297587,-0.000922
2.800000,0.647507,-2.036795,-0.432860,0.440585,-0.302921,-0.001350
2.900000,0.780666,-2.087493,-0.574749,0.430829,-0.304858,-0.001809
3.000000,0.858271,-2.082253,-0.687708,0.413445,-0.302094,-0.002293
3.100000,0.878456,-2.026267,-0.776166,0.387440,-0.293630,-0.002798
3.200000,0.845613,-1.927598,-0.846577,0.352551,-0.278928,-0.003313
3.300000,0.769901,-1.796174,-0.906084,0.309305,-0.257991,-0.003829
3.400000,0.665756,-1.642667,-0.961208,0.258970,-0.231369,-0.004334
3.500000,0.549688,-1.477490,-1.016848,0.203404,-0.200089,-0.004816
3.600000,0.437852,-1.310073,-1.075772,0.144843,-0.165541,-0.005265
3.700000,0.343899,-1.148501,-1.138607,0.085669,-0.129328,-0.005673
3.800000,0.277489,-0.999477,-1.204240,0.028208,-0.093117,-0.006032
3.900000,0.243630,-0.868531,-1.270450,-0.025427,-0.058515,-0.006340
4.000000,0.242790,-0.760363,-1.334595,-0.073444,-0.026963,-0.006594
4.100000,0.271586,-0.679214,-1.394216,-0.114419,0.000325,-0.006795
4.200000,0.323790,-0.629186,-1.447481,-0.147311,0.022404,-0.006947
4.300000,0.391447,-0.614460,-1.493435,-0.171461,0.038608,-0.007052
4.400000,0.465941,-0.639383,-1.532067,-0.186561,0.048549,-0.007115
4.500000,0.538946,-0.708406,-1.564218,-0.192635,0.052095,-0.007140
4.600000,0.603209,-0.825858,-1.591366,-0.190007,0.049345,-0.007131
4.700000,0.653201,-0.995559,-1.615318,-0.179271,0.040593,-0.007089
4.800000,0.685606,-1.220277,-1.637852,-0.161252,0.026289,-0.007018
4.900000,0.699669,-1.501064,-1.660354,-0.136962,0.006993,-0.006916
5.000000,0.697409,-1.836531,-1.683485,-0.107548,-0.016667,-0.006782
5.100000,0.683658,-2.222151,-1.706938,-0.074228,-0.044040,-0.006612
5.200000,0.665964,-2.649725,-1.729310,-0.038227,-0.074479,-0.006404
5.300000,0.654301,-3.107136,-1.748131,-0.000712,-0.107366,-0.006150
5.400000,0.660610,-3.578503,-1.760038,0.037267,-0.142112,-0.005845
5.500000,0.698118,-4.044817,-1.761076,0.074821,-0.178145,-0.005483
5.600000,0.780416,-4.485056,-1.747098,0.111256,-0.214883,-0.005060
5.700000,0.920233,-4.877695,-1.714194,0.146081,-0.251706,-0.004570
5.800000,1.127918,-5.202466,-1.659120,0.179006,-0.287929,-0.004014
5.900000,1.409675,-5.442161,-1.579676,0.209923,-0.322786,-0.003394
6.000000,1.765702,-5.584242,-1.475009,0.238869,-0.355441,-0.002716
6.100000,2.188527,-5.622052,-1.345824,0.265978,-0.385018,-0.001992
6.200000,2.661896,-5.555438,-1.194458,0.291430,-0.410654,-0.001237
6.300000,3.160598,-5.390685,-1.024816,0.315398,-0.431567,-0.000471
6.400000,3.651540,-5.139741,-0.842128,0.338001,-0.447131,0.000285
6.500000,4.096131,-4.818807,-0.652533,0.359288,-0.456937,0.001007
6.600000,4.453813,-4.446502,-0.462524,0.379228,-0.460848,0.001674
6.700000,4.686261,-4.041837,-0.278310,0.397736,-0.459017,0.002266
6.800000,4.761615,-3.622325,-0.105207,0.414707,-0.451878,0.002768
6.900000,4.658093,-3.202481,0.052855,0.430057,-0.440115,0.003170
7.000000,4.366423,-2.792896,0.193626,0.443754,-0.424606,0.003467
7.100000,3.890832,-2.399951,0.316596,0.455839,-0.406342,0.003659
7.200000,3.248567,-2.026109,0.422841,0.466420,-0.386363,0.003751
7.300000,2.468165,-1.670646,0.514698,0.475653,-0.365679,0.003752
7.400000,1.586853,-1.330608,0.595353,0.483714,-0.345210,0.003673
7.500000,0.647468,-1.001828,0.668404,0.490757,-0.325740,0.003528
7.600000,-0.304740,-0.679836,0.737476,0.496883,-0.307890,0.003331
7.700000,-1.225154,-0.360583,0.805895,0.502112,-0.292093,0.003095
7.800000,-2.072518,-0.040933,0.876460,0.506367,-0.278600,0.002835
7.900000,-2.811257,0.281056,0.951290,0.509468,-0.267473,0.002564
8.000000,-3.413360,0.606049,1.031756,0.511134,-0.258607,0.002296
8.100000,-3.859780,0.933504,1.118459,0.511002,-0.251734,0.002043
8.200000,-4.141336,1.261869,1.211283,0.508641,-0.246449,0.001813
8.300000,-4.259030,1.588867,1.309485,0.503581,-0.242227,0.001618
8.400000,-4.223715,1.911861,1.411856,0.495345,-0.238453,0.001464
8.500000,-4.055043,2.228258,1.516906,0.483484,-0.234454,0.001356
8.600000,-3.779678,2.535916,1.623106,0.467617,-0.229543,0.001298
8.700000,-3.428884,2.833512,1.729121,0.447466,-0.223065,0.001289
8.800000,-3.035683,3.120813,1.834023,0.422906,-0.214457,0.001328
8.900000,-2.631923,3.398792,1.937442,0.393993,-0.203296,0.001410
9.000000,-2.245605,3.669568,2.039631,0.360997,-0.189353,0.001529
9.100000,-1.898828,3.936176,2.141425,0.324428,-0.172626,0.001678
9.200000,-1.606587,4.202194,2.244132,0.285044,-0.153367,0.001847
9.300000,-1.376520,4.471299,2.349336,0.243846,-0.132080,0.002028
9.400000,-1.209489,4.746386,2.458461,0.202052,-0.109496,0.002214
9.500000,-1.100503,5.027302,2.571586,0.161020,-0.086514,0.002393
9.600000,-1.040269,5.312419,2.688405,0.122374,-0.064250,0.002556
9.700000,-1.018626,5.606433,2.812291,0.088186,-0.044114,0.002708
9.800000,-1.026694,5.917886,2.948651,0.060746,-0.027659,0.002860
9.900000,-1.057604,6.254535,3.102498,0.042621,-0.016619,0.003029
